date,close,url,yanse,name
20-July-13,3,http://www.recengine.org/hits/,#58FAF4,News Influence on Stock Price
20-Jun-13,3,http://www.recengine.org/d3/,#58FAF4,D3 chart
26-Oct-13,2,http://www.recengine.org/stock/,#58D3F7,Stock Price
25-Nov-13,4,https://www.stevens.edu/howe/sites/howe/files/BOA.pptx,#400BFF, Sentiment Analysis
24-Dec-13,5,http://www.recengine.org/us-map/,#58FAF4, U.S.-map
28-Feb-14,5,http://www.recengine.org/network/,#58FAF4, Network
23-May-14,3,https://www.stevens.edu/howe/sites/howe/files/PROJECT%20FINAL%20REPORT_0.doc,#DF0101,Mining the Social Web
23-May-15,3,work.html,#DF0101,Hadoop Analytical Infrastructure



