state,number
Alabama,0
Alaska,0
Arizona,2
Arkansas,0
California,8
Colorado,2
Connecticut,4
Delaware,0
Florida,6
Georgia,4
Hawaii,2
Idaho,1
Illinois,4
Indiana,1
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,1
Maryland,2
Massachusetts,19
Michigan,1
Minnesota,9
Mississippi,2
Missouri,3
Montana,0
Nebraska,0
Nevada,0
NewHampshire,4
NewJersey,31
NewMexico,1
NewYork,98
NorthCarolina,15
NorthDakota,3
Ohio,1
Oklahoma,0
Oregon,3
Pennsylvania,1
RhodeIsland,0
SouthCarolina,1
SouthDakota,0
Tennessee,0
Texas,10
Utah,1
Vermont,1
Virginia,1
Washington,3
WestVirginia,0
Wisconsin,3
Wyoming,1
